thread_id,messages,sentences,summary
THR000021,4,11,my reference is <application_ref>. the address proof i uploaded was rejected. the address proof was rejected because only one page of the document was uploaded.
THR000022,6,14,the emi date can be moved to the 15th from the next cycle. is there any charge for changing the emi date. the new emi date will show in your account once the fresh mandate is active.
THR000023,4,9,"is my home loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your home loan goes up. the moratorium on your home loan is decided within two working days."
THR000024,6,15,the branch told me one interest rate on my home loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your home loan. i took the home loan only because of the rate i was quoted.
THR000025,4,12,the pan card i uploaded was rejected. this is regarding application <application_ref>. this is regarding application <application_ref>.
THR000026,4,10,"tkt434629 - a part prepayment of rs 300,000 can reduce either the emi or the tenure on your home loan. is there a prepayment charge on my home loan. the tenure will reduce once the prepayment of rs 300,000 is received."
THR000027,4,12,my reference is <application_ref>. my reference is <application_ref>. this is regarding application <application_ref>.
THR000028,6,15,the branch told me one interest rate on my home loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your home loan. i took the home loan only because of the rate i was quoted.
THR000029,6,13,the name printed on my income proof does not match the name in your records. the name mismatch on your income proof is the reason the kyc is incomplete. ref593840 - i have attached the corrected income proof with the right name.
THR000030,4,9,"does a part prepayment reduce the emi or the tenure. tkt349834 - a part prepayment of rs 150,000 can reduce either the emi or the tenure on your home loan. the tenure will reduce once the prepayment of rs 150,000 is received."
THR000031,6,15,for a balance transfer of your gold loan we issue a foreclosure letter. is there a charge for the balance transfer. tkt854953 - please issue the foreclosure letter for my gold loan.
THR000032,4,10,a charge of rs 590 has been debited on my gold loan and i was never told about this charge. case207809 - the charge of rs 590 on your gold loan is a late payment charge. the charge of rs 590 is being reversed on your gold loan.
THR000033,4,9,the name printed on my bank statement does not match the name in your records. the name mismatch on your bank statement is the reason the kyc is incomplete. i have attached the corrected bank statement with the right name.
THR000034,6,15,sr807549 - the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the may emi will be presented again once the fresh mandate is active.
THR000035,6,14,for a balance transfer of your gold loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my gold loan.
THR000036,4,10,ref357489 - escalation is fine but i still have no answer on my vehicle loan. the service manager will call you on your registered number within three working days. the answer on your vehicle loan will be given on that call.
THR000037,6,12,the name printed on my salary slip does not match the name in your records. the name mismatch on your salary slip is the reason the kyc is incomplete. case971897 - i have attached the corrected salary slip with the right name.
THR000038,4,8,"sr784959 - a part prepayment of rs 50,000 can reduce either the emi or the tenure on your personal loan. is there a prepayment charge on my personal loan. the tenure will reduce once the prepayment of rs 50,000 is received."
THR000039,4,9,"is my vehicle loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your vehicle loan goes up. the moratorium on your vehicle loan is decided within two working days."
THR000040,4,10,the branch told me one interest rate on my vehicle loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your vehicle loan. the rate quoted to you was the card rate before your profile was scored.
THR000041,6,12,the income proof i uploaded was rejected. the income proof was rejected because the address on it did not match your application. will my vehicle loan sanction be delayed because the income proof was rejected once.
THR000042,4,12,my reference is <application_ref>. my reference is <application_ref>. this is regarding application <application_ref>.
THR000043,4,11,case416768 - a top up on your vehicle loan is possible after twelve emis have been paid on time. this is regarding application <application_ref>. the top up amount depends on the outstanding on your vehicle loan and on your income.
THR000044,4,9,escalation is fine but i still have no answer on my vehicle loan. the service manager will call you on your registered number within two working days. the answer on your vehicle loan will be given on that call.
THR000045,6,15,the pan card i uploaded was rejected. my reference is <application_ref>. tkt412804 - will my personal loan sanction be delayed because the pan card was rejected once.
THR000046,6,14,i want to change my emi date to the 10th of the month. the emi date can be moved to the 10th from the next cycle. the new emi date will show in your account once the fresh mandate is active.
THR000047,4,10,a top up on your personal loan is possible after twelve emis have been paid on time. every emi on that personal loan has been paid on time. the top up amount depends on the outstanding on your personal loan and on your income.
THR000048,4,9,ref386205 - a charge of rs 250 has been debited on my vehicle loan and i was never told about this charge. tkt427039 - the charge of rs 250 on your vehicle loan is a late payment charge. the charge of rs 250 is being reversed on your vehicle loan.
THR000049,4,10,the bank statement i uploaded was rejected. can you tell me why the bank statement was rejected. the bank statement was rejected because the scanned copy was not clearly readable.
THR000050,4,9,"a part prepayment of rs 50,000 can reduce either the emi or the tenure on your vehicle loan. is there a prepayment charge on my vehicle loan. the tenure will reduce once the prepayment of rs 50,000 is received."
THR000051,6,15,am i eligible for a top up on the same gold loan. a top up on your gold loan is possible after twelve emis have been paid on time. case996315 - the top up amount depends on the outstanding on your gold loan and on your income.
THR000052,4,10,this is regarding application <application_ref>. the charge of rs 500 on your vehicle loan is a late payment charge. the charge of rs 500 is being reversed on your vehicle loan.
THR000053,4,10,i was asked for a pan card for my personal loan but i have already submitted it once. a pan card has to be submitted again for this personal loan. the branch will scan the pan card and attach it to your personal loan application.
THR000054,6,15,the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the july emi will be presented again once the fresh mandate is active.
THR000055,6,14,am i eligible for a top up on the same gold loan. a top up on your gold loan is possible after twelve emis have been paid on time. ref514583 - the top up amount depends on the outstanding on your gold loan and on your income.
THR000056,6,16,the branch told me one interest rate on my personal loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your personal loan. i took the personal loan only because of the rate i was quoted.
THR000057,6,16,my reference is <application_ref>. the income proof i uploaded was rejected. my reference is <application_ref>.
THR000058,4,9,i want to change my emi date to the 7th of the month. the emi date can be moved to the 7th from the next cycle. is there any charge for changing the emi date.
THR000059,6,14,sr654727 - for a balance transfer of your gold loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my gold loan.
THR000060,4,9,a charge of rs 500 has been debited on my vehicle loan and i was never told about this charge. ref646704 - the charge of rs 500 on your vehicle loan is a late payment charge. the charge of rs 500 is being reversed on your vehicle loan.
THR000061,4,9,i was asked for a income proof for my vehicle loan but i have already submitted it once. a income proof has to be submitted again for this vehicle loan. the branch will scan the income proof and attach it to your vehicle loan application.
THR000062,6,15,i want to change my emi date to the 5th of the month. is there any charge for changing the emi date. the new emi date will show in your account once the fresh mandate is active.
THR000063,4,9,"is my personal loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your personal loan goes up. the moratorium on your personal loan is decided within three working days."
THR000064,6,12,the branch told me one interest rate on my personal loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your personal loan. i took the personal loan only because of the rate i was quoted.
THR000065,4,9,sr797550 - i was asked for a salary slip for my home loan but i have already submitted it once. a salary slip has to be submitted again for this home loan. the branch will scan the salary slip and attach it to your home loan application.
THR000066,6,16,my reference is <application_ref>. my reference is <application_ref>. sr676391 - the new emi date will show in your account once the fresh mandate is active.
THR000067,6,13,case809453 - for a balance transfer of your home loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my home loan.
THR000068,6,14,the answer on your gold loan will be given on that call. i received the call and the issue on my gold loan is clear now. this is regarding application <application_ref>.
THR000069,6,15,my reference is <application_ref>. the name mismatch on your salary slip is the reason the kyc is incomplete. my reference is <application_ref>.
THR000070,4,10,"tkt618801 - a part prepayment of rs 300,000 can reduce either the emi or the tenure on your gold loan. is there a prepayment charge on my gold loan. the tenure will reduce once the prepayment of rs 300,000 is received."
THR000071,6,16,a top up on your gold loan is possible after twelve emis have been paid on time. this is regarding application <application_ref>. the top up amount depends on the outstanding on your gold loan and on your income.
THR000072,6,17,this is regarding application <application_ref>. this is regarding application <application_ref>. this is regarding application <application_ref>.
THR000073,4,9,ref160443 - i was asked for a pan card for my personal loan but i have already submitted it once. a pan card has to be submitted again for this personal loan. the branch will scan the pan card and attach it to your personal loan application.
THR000074,4,8,"a part prepayment of rs 100,000 can reduce either the emi or the tenure on your home loan. is there a prepayment charge on my home loan. the tenure will reduce once the prepayment of rs 100,000 is received."
THR000075,6,18,my reference is <application_ref>. my reference is <application_ref>. my reference is <application_ref>.
THR000076,6,14,the answer on your home loan will be given on that call. tkt347694 - i received the call and the issue on my home loan is clear now. case130121 - thank you for confirming that the home loan issue is clear.
THR000077,4,9,why is the same pan card being asked for again. a pan card has to be submitted again for this home loan. the branch will scan the pan card and attach it to your home loan application.
THR000078,4,9,"a part prepayment of rs 50,000 can reduce either the emi or the tenure on your vehicle loan. is there a prepayment charge on my vehicle loan. the tenure will reduce once the prepayment of rs 50,000 is received."
THR000079,4,9,tkt389286 - for a balance transfer of your vehicle loan we issue a foreclosure letter. is there a charge for the balance transfer. there is no charge on a floating rate vehicle loan for a balance transfer.
THR000080,4,12,this is regarding application <application_ref>. case535060 - the charge of rs 590 on your vehicle loan is a late payment charge. this is regarding application <application_ref>.
THR000081,4,11,this is regarding application <application_ref>. a address proof has to be submitted again for this home loan. this is regarding application <application_ref>.
THR000082,4,9,"a part prepayment of rs 150,000 can reduce either the emi or the tenure on your gold loan. is there a prepayment charge on my gold loan. the tenure will reduce once the prepayment of rs 150,000 is received."
THR000083,4,9,"is my personal loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your personal loan goes up. the moratorium on your personal loan is decided within seven working days."
THR000084,4,9,a charge of rs 500 has been debited on my personal loan and i was never told about this charge. the charge of rs 500 on your personal loan is a late payment charge. the charge of rs 500 is being reversed on your personal loan.
THR000085,6,15,case574533 - the name mismatch on your salary slip is the reason the kyc is incomplete. my reference is <application_ref>. my reference is <application_ref>.
THR000086,4,9,tkt494899 - i want to change my emi date to the 7th of the month. the emi date can be moved to the 7th from the next cycle. is there any charge for changing the emi date.
THR000087,4,10,"is my personal loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your personal loan goes up. the moratorium on your personal loan is decided within seven working days."
THR000088,4,9,the rate in the sanction letter is the rate that applies to your home loan. i took the home loan only because of the rate i was quoted. the rate quoted to you was the card rate before your profile was scored.
THR000089,6,15,the salary slip i uploaded was rejected. my reference is <application_ref>. tkt506480 - will my gold loan sanction be delayed because the salary slip was rejected once.
THR000090,6,15,the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. sr473171 - the august emi will be presented again once the fresh mandate is active.
THR000091,6,16,my reference is <application_ref>. my reference is <application_ref>. my reference is <application_ref>.
THR000092,4,10,ref947221 - a charge of rs 250 has been debited on my home loan and i was never told about this charge. the charge of rs 250 on your home loan is a late payment charge. the charge of rs 250 is being reversed on your home loan.
THR000093,4,9,sr738178 - i was asked for a pan card for my home loan but i have already submitted it once. a pan card has to be submitted again for this home loan. the branch will scan the pan card and attach it to your home loan application.
THR000094,4,10,the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the bounce charge of rs 250 has been waived on this emi.
THR000095,6,17,my reference is <application_ref>. my reference is <application_ref>. my reference is <application_ref>.
THR000096,6,14,case878520 - the branch told me one interest rate on my vehicle loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your vehicle loan. i took the vehicle loan only because of the rate i was quoted.
THR000097,4,10,i was asked for a salary slip for my home loan but i have already submitted it once. a salary slip has to be submitted again for this home loan. the branch will scan the salary slip and attach it to your home loan application.
THR000098,4,8,"does a part prepayment reduce the emi or the tenure. a part prepayment of rs 50,000 can reduce either the emi or the tenure on your home loan. the tenure will reduce once the prepayment of rs 50,000 is received."
THR000099,4,10,for a balance transfer of your personal loan we issue a foreclosure letter. is there a charge for the balance transfer. there is no charge on a floating rate personal loan for a balance transfer.
THR000100,4,9,ref741655 - a charge of rs 590 has been debited on my home loan and i was never told about this charge. ref384011 - the charge of rs 590 on your home loan is a late payment charge. the charge of rs 590 is being reversed on your home loan.
THR000101,4,11,a pan card has to be submitted again for this home loan. my reference is <application_ref>. the branch will scan the pan card and attach it to your home loan application.
THR000102,6,14,sr280206 - i want to change my emi date to the 15th of the month. is there any charge for changing the emi date. the new emi date will show in your account once the fresh mandate is active.
THR000103,6,15,ref818425 - for a balance transfer of your home loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my home loan.
THR000104,6,15,this is regarding application <application_ref>. this is regarding application <application_ref>. case748391 - i received the call and the issue on my vehicle loan is clear now.
THR000105,6,15,the bank statement i uploaded was rejected. my reference is <application_ref>. sr334437 - will my personal loan sanction be delayed because the bank statement was rejected once.
THR000106,6,14,i want to change my emi date to the 7th of the month. the emi date can be moved to the 7th from the next cycle. case911692 - the new emi date will show in your account once the fresh mandate is active.
THR000107,6,14,for a balance transfer of your home loan we issue a foreclosure letter. is there a charge for the balance transfer. tkt694685 - please issue the foreclosure letter for my home loan.
THR000108,4,11,the branch told me one interest rate on my vehicle loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your vehicle loan. i took the vehicle loan only because of the rate i was quoted.
THR000109,4,9,the name printed on my pan card does not match the name in your records. sr988144 - the name mismatch on your pan card is the reason the kyc is incomplete. sr360001 - i have attached the corrected pan card with the right name.
THR000110,4,8,"case468492 - a part prepayment of rs 200,000 can reduce either the emi or the tenure on your gold loan. is there a prepayment charge on my gold loan. the tenure will reduce once the prepayment of rs 200,000 is received."
THR000111,4,9,"is my home loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your home loan goes up. the moratorium on your home loan is decided within five working days."
THR000112,4,11,sr889732 - the branch told me one interest rate on my personal loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your personal loan. the rate quoted to you was the card rate before your profile was scored.
THR000113,4,10,i was asked for a bank statement for my home loan but i have already submitted it once. a bank statement has to be submitted again for this home loan. the branch will scan the bank statement and attach it to your home loan application.
THR000114,4,8,i want to change my emi date to the 7th of the month. the emi date can be moved to the 7th from the next cycle. is there any charge for changing the emi date.
THR000115,4,9,tkt172504 - a top up on your home loan is possible after twelve emis have been paid on time. every emi on that home loan has been paid on time. the top up amount depends on the outstanding on your home loan and on your income.
THR000116,4,11,the rate in the sanction letter is the rate that applies to your personal loan. i took the personal loan only because of the rate i was quoted. the rate quoted to you was the card rate before your profile was scored.
THR000117,4,8,case358382 - i was asked for a salary slip for my gold loan but i have already submitted it once. a salary slip has to be submitted again for this gold loan. the branch will scan the salary slip and attach it to your gold loan application.
THR000118,6,13,i want to change my emi date to the 7th of the month. the emi date can be moved to the 7th from the next cycle. the new emi date will show in your account once the fresh mandate is active.
THR000119,6,15,for a balance transfer of your personal loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my personal loan.
THR000120,4,9,case225986 - a charge of rs 750 has been debited on my vehicle loan and i was never told about this charge. the charge of rs 750 on your vehicle loan is a late payment charge. the charge of rs 750 is being reversed on your vehicle loan.
THR000121,4,10,i was asked for a salary slip for my personal loan but i have already submitted it once. a salary slip has to be submitted again for this personal loan. the branch will scan the salary slip and attach it to your personal loan application.
THR000122,4,11,the emi date can be moved to the 10th from the next cycle. is there any charge for changing the emi date. this is regarding application <application_ref>.
THR000123,4,8,"is my vehicle loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your vehicle loan goes up. the moratorium on your vehicle loan is decided within three working days."
THR000124,6,14,my reference is <application_ref>. the answer on your vehicle loan will be given on that call. i received the call and the issue on my vehicle loan is clear now.
THR000125,4,11,the name printed on my salary slip does not match the name in your records. the name mismatch on your salary slip is the reason the kyc is incomplete. this is regarding application <application_ref>.
THR000126,6,12,i want to change my emi date to the 10th of the month. the emi date can be moved to the 10th from the next cycle. the new emi date will show in your account once the fresh mandate is active.
THR000127,6,13,tkt179696 - for a balance transfer of your vehicle loan we issue a foreclosure letter. is there a charge for the balance transfer. tkt365422 - please issue the foreclosure letter for my vehicle loan.
THR000128,4,9,a charge of rs 750 has been debited on my home loan and i was never told about this charge. the charge of rs 750 on your home loan is a late payment charge. the charge of rs 750 is being reversed on your home loan.
THR000129,6,12,the name printed on my pan card does not match the name in your records. the name mismatch on your pan card is the reason the kyc is incomplete. i have attached the corrected pan card with the right name.
THR000130,6,15,i want to change my emi date to the 15th of the month. is there any charge for changing the emi date. the new emi date will show in your account once the fresh mandate is active.
THR000131,4,10,am i eligible for a top up on the same gold loan. a top up on your gold loan is possible after twelve emis have been paid on time. tkt768455 - the top up amount depends on the outstanding on your gold loan and on your income.
THR000132,6,17,this is regarding application <application_ref>. the rate in the sanction letter is the rate that applies to your personal loan. this is regarding application <application_ref>.
THR000133,4,10,the name printed on my income proof does not match the name in your records. the name mismatch on your income proof is the reason the kyc is incomplete. my reference is <application_ref>.
THR000134,4,8,"does a part prepayment reduce the emi or the tenure. a part prepayment of rs 150,000 can reduce either the emi or the tenure on your home loan. the tenure will reduce once the prepayment of rs 150,000 is received."
THR000135,4,11,tkt821380 - a top up on your vehicle loan is possible after twelve emis have been paid on time. this is regarding application <application_ref>. the top up amount depends on the outstanding on your vehicle loan and on your income.
THR000136,6,14,tkt702711 - the branch told me one interest rate on my personal loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your personal loan. i took the personal loan only because of the rate i was quoted.
THR000137,4,10,the income proof i uploaded was rejected. can you tell me why the income proof was rejected. the income proof was rejected because the document had already expired.
THR000138,6,15,ref317364 - i want to change my emi date to the 5th of the month. is there any charge for changing the emi date. tkt582631 - the new emi date will show in your account once the fresh mandate is active.
THR000139,6,13,am i eligible for a top up on the same home loan. ref669965 - a top up on your home loan is possible after twelve emis have been paid on time. tkt982733 - the top up amount depends on the outstanding on your home loan and on your income.
THR000140,4,10,escalation is fine but i still have no answer on my personal loan. the service manager will call you on your registered number within three working days. the answer on your personal loan will be given on that call.
THR000141,4,11,this is regarding application <application_ref>. a bank statement has to be submitted again for this personal loan. this is regarding application <application_ref>.
THR000142,4,9,"a part prepayment of rs 75,000 can reduce either the emi or the tenure on your personal loan. is there a prepayment charge on my personal loan. the tenure will reduce once the prepayment of rs 75,000 is received."
THR000143,4,11,my reference is <application_ref>. is my gold loan eligible for a moratorium. my reference is <application_ref>.
THR000144,4,10,a charge of rs 1180 has been debited on my vehicle loan and i was never told about this charge. the charge of rs 1180 on your vehicle loan is a late payment charge. the charge of rs 1180 is being reversed on your vehicle loan.
THR000145,4,10,the income proof i uploaded was rejected. tkt723793 - the income proof was rejected because the address on it did not match your application. your income proof is now under verification.
THR000146,4,10,i want to change my emi date to the 15th of the month. the emi date can be moved to the 15th from the next cycle. is there any charge for changing the emi date.
THR000147,4,10,"case939767 - is my gold loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your gold loan goes up. the moratorium on your gold loan is decided within two working days."
THR000148,6,15,my reference is <application_ref>. my reference is <application_ref>. i received the call and the issue on my gold loan is clear now.
THR000149,4,9,the name printed on my address proof does not match the name in your records. the name mismatch on your address proof is the reason the kyc is incomplete. i have attached the corrected address proof with the right name.
THR000150,4,10,"a part prepayment of rs 75,000 can reduce either the emi or the tenure on your home loan. is there a prepayment charge on my home loan. the tenure will reduce once the prepayment of rs 75,000 is received."
THR000151,6,15,for a balance transfer of your personal loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my personal loan.
THR000152,4,11,my reference is <application_ref>. my reference is <application_ref>. the answer on your home loan will be given on that call.
THR000153,4,11,the bank statement i uploaded was rejected. can you tell me why the bank statement was rejected. the bank statement was rejected because only one page of the document was uploaded.
THR000154,6,13,the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the august emi will be presented again once the fresh mandate is active.
THR000155,6,17,my reference is <application_ref>. my reference is <application_ref>. my reference is <application_ref>.
THR000156,6,13,the answer on your personal loan will be given on that call. sr277545 - i received the call and the issue on my personal loan is clear now. sr311922 - thank you for confirming that the personal loan issue is clear.
THR000157,4,9,i was asked for a salary slip for my vehicle loan but i have already submitted it once. a salary slip has to be submitted again for this vehicle loan. the branch will scan the salary slip and attach it to your vehicle loan application.
THR000158,6,15,tkt793757 - the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. sr986974 - the june emi will be presented again once the fresh mandate is active.
THR000159,4,10,"is my home loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your home loan goes up. the moratorium on your home loan is decided within two working days."
THR000160,4,10,the rate in the sanction letter is the rate that applies to your gold loan. i took the gold loan only because of the rate i was quoted. the rate quoted to you was the card rate before your profile was scored.
THR000161,4,9,the name printed on my address proof does not match the name in your records. the name mismatch on your address proof is the reason the kyc is incomplete. i have attached the corrected address proof with the right name.
THR000162,4,9,"a part prepayment of rs 100,000 can reduce either the emi or the tenure on your home loan. is there a prepayment charge on my home loan. the tenure will reduce once the prepayment of rs 100,000 is received."
THR000163,4,10,"is my vehicle loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your vehicle loan goes up. the moratorium on your vehicle loan is decided within five working days."
THR000164,4,9,a charge of rs 500 has been debited on my gold loan and i was never told about this charge. the charge of rs 500 on your gold loan is a late payment charge. the charge of rs 500 is being reversed on your gold loan.
THR000165,4,8,case368292 - i was asked for a bank statement for my gold loan but i have already submitted it once. a bank statement has to be submitted again for this gold loan. the branch will scan the bank statement and attach it to your gold loan application.
THR000166,6,14,the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the february emi will be presented again once the fresh mandate is active.
THR000167,4,8,for a balance transfer of your gold loan we issue a foreclosure letter. is there a charge for the balance transfer. there is no charge on a floating rate gold loan for a balance transfer.
THR000168,6,14,case844000 - the branch told me one interest rate on my vehicle loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your vehicle loan. i took the vehicle loan only because of the rate i was quoted.
THR000169,4,8,i was asked for a salary slip for my gold loan but i have already submitted it once. a salary slip has to be submitted again for this gold loan. the branch will scan the salary slip and attach it to your gold loan application.
THR000170,4,9,"does a part prepayment reduce the emi or the tenure. a part prepayment of rs 200,000 can reduce either the emi or the tenure on your personal loan. the tenure will reduce once the prepayment of rs 200,000 is received."
THR000171,4,10,this is regarding application <application_ref>. this is regarding application <application_ref>. the moratorium on your home loan is decided within two working days.
THR000172,4,11,my reference is <application_ref>. my reference is <application_ref>. the answer on your personal loan will be given on that call.
THR000173,4,8,tkt175250 - i was asked for a bank statement for my home loan but i have already submitted it once. a bank statement has to be submitted again for this home loan. the branch will scan the bank statement and attach it to your home loan application.
THR000174,4,10,"case972266 - a part prepayment of rs 150,000 can reduce either the emi or the tenure on your vehicle loan. is there a prepayment charge on my vehicle loan. the tenure will reduce once the prepayment of rs 150,000 is received."
THR000175,4,10,"sr574870 - is my personal loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your personal loan goes up. the moratorium on your personal loan is decided within five working days."
THR000176,6,15,the branch told me one interest rate on my home loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your home loan. i took the home loan only because of the rate i was quoted.
THR000177,4,11,this is regarding application <application_ref>. a pan card has to be submitted again for this home loan. this is regarding application <application_ref>.
THR000178,6,15,case779563 - the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. ref254730 - the january emi will be presented again once the fresh mandate is active.
THR000179,4,10,"is my gold loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your gold loan goes up. the moratorium on your gold loan is decided within seven working days."
THR000180,4,9,the branch told me one interest rate on my gold loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your gold loan. the rate quoted to you was the card rate before your profile was scored.
THR000181,6,15,the pan card i uploaded was rejected. this is regarding application <application_ref>. will my vehicle loan sanction be delayed because the pan card was rejected once.
THR000182,6,15,the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the april emi will be presented again once the fresh mandate is active.
THR000183,6,14,for a balance transfer of your vehicle loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my vehicle loan.
THR000184,4,10,the branch told me one interest rate on my personal loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your personal loan. the rate quoted to you was the card rate before your profile was scored.
THR000185,6,12,the pan card i uploaded was rejected. will my vehicle loan sanction be delayed because the pan card was rejected once. the vehicle loan sanction will move ahead as soon as the pan card is verified.
THR000186,6,14,ref617704 - the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the may emi will be presented again once the fresh mandate is active.
THR000187,6,16,am i eligible for a top up on the same personal loan. case785045 - a top up on your personal loan is possible after twelve emis have been paid on time. the top up amount depends on the outstanding on your personal loan and on your income.
THR000188,4,10,this is regarding application <application_ref>. the charge of rs 500 on your home loan is a late payment charge. the charge of rs 500 is being reversed on your home loan.
THR000189,4,8,i was asked for a income proof for my home loan but i have already submitted it once. a income proof has to be submitted again for this home loan. the branch will scan the income proof and attach it to your home loan application.
THR000190,4,8,tkt197481 - i want to change my emi date to the 15th of the month. sr515006 - the emi date can be moved to the 15th from the next cycle. is there any charge for changing the emi date.
THR000191,4,10,"is my gold loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your gold loan goes up. the moratorium on your gold loan is decided within five working days."
