message_id,message_text,category,urgency,cleaned_text
MSG000020,"Hi team, Requesting a prompt update. A late fee of Rs 649,000 was charged even though my KYC was under review Awaiting your response.",payment_issue,medium,"requesting a prompt update. a late fee of rs 649,000 was charged even though my kyc was under review"
MSG000021,"Hi team, my reference is SR-647340. This is urgent. LA924692 rejected no reason given Awaiting your response.",complaint,high,my reference is <ticket>. this is urgent. <application_ref> rejected no reason given
MSG000022,"Dear madam, No hurry, but Which documents do I need, my application LA016915 was rejected for papers Please confirm.",loan_query,low,"no hurry, but which documents do i need, my application <application_ref> was rejected for papers please confirm."
MSG000023,"Hello, ticket TKT-900936 — Please look into this soon. My KYC papers were submitted 20 days ago and nothing has updated Regards.",kyc,medium,ticket <ticket> — please look into this soon. my kyc papers were submitted 20 days ago and nothing has updated
MSG000024,"Hi team, At your convenience, kyc docs rejected why Awaiting your response.
--
Vikram Joshi
Sent from my iPhone",kyc,low,"at your convenience, kyc docs rejected why"
MSG000025,"Dear madam, ticket CASE-295791 — At your convenience, Tell me my outstanding balance, I want to close the home loan Kindly help.",payment_issue,low,"ticket <ticket> — at your convenience, tell me my outstanding balance, i want to close the home loan kindly help."
MSG000026,This needs to be resolved today. raising complaint against Indore branch Please advise.,complaint,high,this needs to be resolved today. raising complaint against indore branch please advise.
MSG000027,"Good morning, Kindly respond at the earliest. My auto debit failed, please tell me how to pay manually Thanks in advance.",complaint,medium,"kindly respond at the earliest. my auto debit failed, please tell me how to pay manually"
MSG000028,"At your convenience, my gold loan handled badly Regards.",complaint,low,"at your convenience, my gold loan handled badly"
MSG000029,"Good morning, Requesting a prompt update. can i get loan without salary slip Thanks in advance.

On 10 Feb 2026 at 11:04, Customer Care <care@loanserve.example> wrote:
> Thank you for writing in. Your request has been logged and our team
> will revert within 48 working hours.",loan_query,medium,requesting a prompt update. can i get loan without salary slip
MSG000030,"regarding SR-621714, This needs to be resolved today. My EMI has bounced and I do not know why Please confirm.",payment_issue,high,"regarding <ticket>, this needs to be resolved today. my emi has bounced and i do not know why please confirm."
MSG000031,"Hi team, Requestiing a prompt update. rate fixed or floating Kindly help.",loan_query,medium,requestiing a prompt update. rate fixed or floating kindly help.
MSG000032,"Just checking, update my address Kindly help.",kyc,low,"just checking, update my address kindly help."
MSG000033,"Dear madam, Please treat this as urgent. emi amount wrong this month Regards.",payment_issue,high,please treat this as urgent. emi amount wrong this month
MSG000034,Kindly respond at the earliest. I intend to approach the banking ombudsman about LA010570 Kindly help.,complaint,medium,kindly respond at the earliest. i intend to approach the banking ombudsman about <application_ref> kindly help.
MSG000035,"Dear madam, regarding CASE-353219, At your convenience, share eligibility criteria",loan_query,low,"regarding <ticket>, at your convenience, share eligibility criteria"
MSG000036,"Good morning, Please look inot this soon. promised callback never came Kindly help.",complaint,medium,please look inot this soon. promised callback never came kindly help.
MSG000037,"Hi team, [REF#492638] Extremely urgent, please act now. emi amount wrong this month Please advise.",payment_issue,high,"[<ticket>] extremely urgent, please act now. emi amount wrong this month please advise."
MSG000038,"Hello, Juust checking, I intend to approach the banking ombudsman about LA991088 Kindly help.

On 16 Jun 2026 at 11:04, Customer Care <care@loanserve.example> wrote:
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",complaint,low,"juust checking, i intend to approach the banking ombudsman about <application_ref> kindly help."
MSG000039,"Hello, Immediate attention needed. reverse the bounce charge Thanks in advance. 👍

-----Original Message-----
From: LoanServe Support
Subject: Re: your query
> Thank you for writing in. Your request has been logged and our team
> will revert within 48 working hours.",payment_issue,high,immediate attention needed. reverse the bounce charge thanks in advance. 👍
MSG000040,"Hi team, This needs to be resolved today. Nobody told me which documents are needed and my application LA934397 was rejected",complaint,high,this needs to be resolved today. nobody told me which documents are needed and my application <application_ref> was rejected
MSG000041,"Good morning, cibil needed for gold loan Please confirm.
Best regards,
Sneha Reddy",loan_query,medium,cibil needed for gold loan please confirm.
MSG000042,"Dear madam, Immediate attention needed. Does my co-applicant also need to complete KYC for LA974463 Kindly help.",kyc,high,immediate attention needed. does my co-applicant also need to complete kyc for <application_ref> kindly help.
MSG000043,"This is urgent. part prepay penalty Thanks in advance.
--
Lakshmi Iyer
+91 9923289134",loan_query,high,this is urgent. part prepay penalty
MSG000044,"Dear madam, Just checking, visit Pune branch for kyc? Please advise.",kyc,low,"just checking, visit pune branch for kyc? please advise."
MSG000045,"Good morning, Please revert within a couple of days. I am extremely dissatisfied with how LA013972 has been handled Thanks in advance.",complaint,medium,please revert within a couple of days. i am extremely dissatisfied with how <application_ref> has been handled
MSG000046,"This needs to be resolved today. My address proof was rejected and now my gold loan is on hold Thanks in advance.
--
Anil Menon
Sent from my iPhone",complaint,medium,this needs to be resolved today. my address proof was rejected and now my gold loan is on hold
MSG000047,"Dear sir, This needs to be resolved today. This experience with your personal loan team has been frustrating",complaint,high,this needs to be resolved today. this experience with your personal loan team has been frustrating
MSG000048,"Hi team, Please revert within a couple of days. My address proof was rejected and now my home loan is on hold Awaiting your response.
Best regards,
Lakshmi Iyer",kyc,medium,please revert within a couple of days. my address proof was rejected and now my home loan is on hold
MSG000049,"Please look into this soon. moratorium option at start? Kindly help.
Best regards,
Imran Qureshi",loan_query,medium,please look into this soon. moratorium option at start? kindly help.
MSG000050,"unfair charge of Rs 250,000 Kindly help.
Thanks and regards,
Lakshmi Iyer
Account holder",complaint,medium,"unfair charge of rs 250,000 kindly help."
MSG000051,"my reference is CASE-388688. Just checking, The branch staff at Bengaluru were extremely rude to me Awaiting your response.
--
Ravi Kumar
+91 8218467073",complaint,high,"my reference is <ticket>. just checking, the branch staff at bengaluru were extremely rude to me"
MSG000052,"No hurry, but How do I make a part payment of Rs 9,000 on LA016443 Please confirm.",payment_issue,high,"no hurry, but how do i make a part payment of rs 9,000 on <application_ref> please confirm."
MSG000053,"Dear sir, Kindly respond at the earliest. I am unable to pay this month's EMI, what are my options",payment_issue,medium,"kindly respond at the earliest. i am unable to pay this month's emi, what are my options"
MSG000054,"Dear madam, My periodic KYC update is due, please guide me Kindly help.",kyc,medium,"my periodic kyc update is due, please guide me kindly help."
MSG000055,"Good morning, At your convenience, rate for home loan? 😞",loan_query,low,"at your convenience, rate for home loan? 😞"
MSG000056,"Hello, Kindly respond at the earliest. correct my name in account Kindly help.
--
Imran Qureshi
Sent from my iPhone",kyc,medium,kindly respond at the earliest. correct my name in account kindly help.
MSG000057,"my reference is REF#736334. This is urgent. Why should I pay Rs 898,000 penalty when the delay was from your KYC team
Best regards,
Lakshmi Iyer",payment_issue,high,"my reference is <ticket>. this is urgent. why should i pay rs 898,000 penalty when the delay was from your kyc team"
MSG000058,"Hello, Immediate attention needed. still no upate on LA026921 Regards.",complaint,high,immediate attention needed. still no upate on <application_ref>
MSG000059,"Good morning, Please look into this soon. payment status for LA934331",payment_issue,high,please look into this soon. payment status for <application_ref>
MSG000060,"Dear sir, regarding REF#215649, Kindly respond at the earliest. My documents for LA018346 are still not verified after 31 days Please advise.",complaint,medium,"regarding <ticket>, kindly respond at the earliest. my documents for <application_ref> are still not verified after 31 days please advise."
MSG000061,"Dear madam, Whenever you get a chance, settle the loan early Awaiting your response.

On 24 May 2026, LoanServe Support <support@loanserve.example> wrote:
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",payment_issue,high,"whenever you get a chance, settle the loan early"
MSG000062,"Hello, I visited the branch on 24-2-2026. Please traet this as urgent. last payment not credited Please confirm.
Best regards,
Sneha Reddy",payment_issue,high,i visited the branch on 24-2-2026. please traet this as urgent. last payment not credited please confirm.
MSG000063,"Hi team, At your convenience, My address proof was rejected and now my vehicle loan is on hold Please confirm.",kyc,low,"at your convenience, my address proof was rejected and now my vehicle loan is on hold please confirm."
MSG000064,"Please look into this soon. My payment of Rs 68,000 was made 30 days ago and is still not showing Regards.",payment_issue,medium,"please look into this soon. my payment of rs 68,000 was made 30 days ago and is still not showing"
MSG000065,"Hello, [REF#116867] Please treat this as urgent. My auto debit failed, please tell me how to pay manually Awaiting your response.",complaint,high,"[<ticket>] please treat this as urgent. my auto debit failed, please tell me how to pay manually"
MSG000066,"Hi team, No hurry, but A late fee of Rs 362,000 was charged even though my KYC was under reivew",payment_issue,low,"no hurry, but a late fee of rs 362,000 was charged even though my kyc was under reivew"
MSG000067,"Hello, Plese look into this soon. want to apply home loan Rs 280,000 Thanks in advance.",loan_query,medium,"plese look into this soon. want to apply home loan rs 280,000"
MSG000068,"Dear madam, Just checking, Update my mobile number, I am not receiving payment reminders Kindly help.",payment_issue,low,"just checking, update my mobile number, i am not receiving payment reminders kindly help."
MSG000069,"Requesting a prompt update. loan approve hone me kitna time Kindly help. http://bit.ly/loanhelp
--
Deepa Nair
Sent from my iPhone

On 25 Jun 2026 at 11:04, Customer Care <care@loanserve.example> wrote:
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",loan_query,medium,requesting a prompt update. loan approve hone me kitna time kindly help. <url>
MSG000070,"Hi team, Whenever you get a chance, your team is not responding Thanks in advance.",complaint,low,"whenever you get a chance, your team is not responding"
MSG000071,"Dear madam, re kyc notice received",kyc,low,re kyc notice received
MSG000072,"Dear madam, regarding TKT-828202, Kindly respond at the earliest. My address proof was rejected and now my gold loan is on hold Please confirm.",complaint,medium,"regarding <ticket>, kindly respond at the earliest. my address proof was rejected and now my gold loan is on hold please confirm."
MSG000073,"Hello, No hurry, but change bank account for emi Kindly help.
--
Lakshmi Iyer
+91 7277508846

-----Original Message-----
From: LoanServe Support
Subject: Re: your query
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",payment_issue,low,"no hurry, but change bank account for emi kindly help."
MSG000074,"Dear madam, Extremely urgent, please act now. Your mobile application keeps crashing when I open my loan account Awaiting your response.
--
Imran Qureshi
+91 8379523304",complaint,high,"extremely urgent, please act now. your mobile application keeps crashing when i open my loan account"
MSG000075,"Good morning, This is urgent. My address has changed and I want to update the records Awaiting your response.",kyc,high,this is urgent. my address has changed and i want to update the records
MSG000076,"Dear madam, This needs to be resolved today. Does adding my spouse as co-applicant improve my eligibility Please advise.
--
Deepa Nair
+91 9830295582",loan_query,high,this needs to be resolved today. does adding my spouse as co-applicant improve my eligibility please advise.
MSG000077,"Hello, Whenever you get a chance, update email id Kindly help.",kyc,low,"whenever you get a chance, update email id kindly help."
MSG000078,"Extremely urgent, please act now. I have been waiting 6 days and nobody has responded to my personal loan request Kindly help.",complaint,high,"extremely urgent, please act now. i have been waiting 6 days and nobody has responded to my personal loan request kindly help."
MSG000079,"Hi team, The emi was debited on 23-9-2025. Please revert within a couple of days. is 60 months allowed Regards.",loan_query,medium,the emi was debited on 23-9-2025. please revert within a couple of days. is 60 months allowed
MSG000080,"Dear madam, Immediate attention needed. My auto debit failed, please tell me how to pay manually Awaiting your response. 👍",complaint,high,"immediate attention needed. my auto debit failed, please tell me how to pay manually awaiting your response. 👍"
MSG000081,"Just checking, By when will my vehicle loan be approved Kindly help.

-----Original Message-----
From: LoanServe Support
Subject: Re: your query
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",loan_query,low,"just checking, by when will my vehicle loan be approved kindly help."
MSG000082,"Hi team, Please treat this as urgent. name spelling wrong Awaiting your response.",kyc,high,please treat this as urgent. name spelling wrong
MSG000083,"Just checking, eligible for Rs 660,000 personal loan? Please advise.
Thanks and regards,
Lakshmi Iyer
Account holder",loan_query,low,"just checking, eligible for rs 660,000 personal loan? please advise."
MSG000084,"Good morning, Immediate attention needed. want to close the loan Please advise.
Best regards,
Ravi Kumar",payment_issue,high,immediate attention needed. want to close the loan please advise.
MSG000085,"Good morning, Please look into this soon. This experience with your personal loan team has been frustrating Please advise. 🙏",complaint,medium,please look into this soon. this experience with your personal loan team has been frustrating please advise. 🙏
MSG000086,"Good morning, No hurry, but processing time for vehicle Please confirm.",loan_query,low,"no hurry, but processing time for vehicle please confirm."
MSG000087,"Hi team, No hurry, but Still waiting 35 days for someone to verify my documents for LA993181 Please confirm.
--
Anil Menon
+91 7761092785",kyc,low,"no hurry, but still waiting 35 days for someone to verify my documents for <application_ref> please confirm."
MSG000088,"Dear madam, Please look into this soon. My personal loan is on hold and your team is not responding about my address proof Please confirm.",kyc,medium,please look into this soon. my personal loan is on hold and your team is not responding about my address proof please confirm.
MSG000089,"Good morning, [SR-825087] This is urgent. eligible for Rs 305,000 vehicle loan? Kindly help.",loan_query,medium,"[<ticket>] this is urgent. eligible for rs 305,000 vehicle loan? kindly help."
MSG000090,"Good morning, This needs to be resolved today. My gold loan is on hold and your team is not responding about my address proof Thanks in advance.",complaint,high,this needs to be resolved today. my gold loan is on hold and your team is not responding about my address proof
MSG000091,"Hello, regarding SR-902427, Please look into this soon. your team is not responding",complaint,medium,"regarding <ticket>, please look into this soon. your team is not responding"
MSG000092,"Dear madam, regarding REF#779662, Just checking, How long does approval take for a gold loan Please advise.",loan_query,low,"regarding <ticket>, just checking, how long does approval take for a gold loan please advise."
MSG000093,"Dear sir, My KYC verification is still showing as pending for LA026192 Regards.
--
Imran Qureshi
Sent from my iPhone",kyc,medium,my kyc verification is still showing as pending for <application_ref>
MSG000094,"Dear sir, Immediate attention needed. My payment was debited twice for the same instalment",payment_issue,high,immediate attention needed. my payment was debited twice for the same instalment
MSG000095,"Hi team, Please revert within a couple of days. update my occupation details Regards.",kyc,medium,please revert within a couple of days. update my occupation details
MSG000096,"Good morning, Whenever you get a chance, My address has changed and I want to update the records Awaiting your response.",kyc,low,"whenever you get a chance, my address has changed and i want to update the records"
MSG000097,"Please treat this as urgent. What is my outstanding and can I get a top up of Rs 189,000 Please advise.
Thanks and regards,
Vikram Joshi
Account holder",payment_issue,high,"please treat this as urgent. what is my outstanding and can i get a top up of rs 189,000 please advise."
MSG000098,"Good morning, This is urgent. skipped emi option Please confirm.",payment_issue,high,this is urgent. skipped emi option please confirm.
MSG000099,"Dear sir, Requesting a prompt update. emi failed this month Please advise.
--
Anil Menon
+91 8033897475",payment_issue,medium,requesting a prompt update. emi failed this month please advise.
MSG000100,"Dear madam, regarding CASE-289903, Requesting a prompt update. no proper reply from anyone Please advise.
--
Sneha Reddy
Sent from my iPhone",complaint,medium,"regarding <ticket>, requesting a prompt update. no proper reply from anyone please advise."
MSG000101,"Dear sir, ticket CASE-345343 — Just checking, loan takeover process Please advise.

On 22 Feb 2026, LoanServe Support <support@loanserve.example> wrote:
> Thank you for writing in. Your request has been logged and our team
> will revert within 48 working hours.",loan_query,low,"ticket <ticket> — just checking, loan takeover process please advise."
MSG000102,"Hello, At your convenience, Am I eligible for a personal loan with a monthly income of Rs 787,000 Regards.
--
Vikram Joshi
+91 8119006716",loan_query,low,"at your convenience, am i eligible for a personal loan with a monthly income of rs 787,000"
MSG000103,"Dear madam, regarding TKT-283851, Please look into this soon. which branch for kyc Regards.",kyc,medium,"regarding <ticket>, please look into this soon. which branch for kyc"
MSG000104,"Good morning, Immediate attention needed. Can I get a moratorium on my vehicle loan for 35 days Kindly help.",payment_issue,high,immediate attention needed. can i get a moratorium on my vehicle loan for 35 days kindly help.
MSG000105,"Hello, Please treat this as urgent. part payment of Rs 379,000 Kindly help.",payment_issue,high,"please treat this as urgent. part payment of rs 379,000 kindly help."
MSG000106,Please look into this soon. The website shows an error every time I try to view LA000908 Thanks in advance.,complaint,medium,please look into this soon. the website shows an error every time i try to view <application_ref>
MSG000107,Please treat this as urgent. reduce my emi amount Please confirm.,payment_issue,high,please treat this as urgent. reduce my emi amount please confirm.
MSG000108,"Hello, Please treat this as urgent. nach mandate issue Awaiting your response.",payment_issue,high,please treat this as urgent. nach mandate issue
MSG000109,"Hello, Kindly respond at the earliest. moratorium option at start? Awaiting your response.",loan_query,medium,kindly respond at the earliest. moratorium option at start?
MSG000110,"Dear madam, Please look into this soon. outstanding after prepayment Please advise. 😡",payment_issue,medium,please look into this soon. outstanding after prepayment please advise. 😡
MSG000111,"Good morning, Whenever you get a chance, is 180 months allowed Thanks in advance.",loan_query,low,"whenever you get a chance, is 180 months allowed"
MSG000112,"Good morning, Just checking, Nobody told me which documents are needed and my application LA025002 was rejected Awaiting your response.",loan_query,low,"just checking, nobody told me which documents are needed and my application <application_ref> was rejected"
MSG000113,"Dear madam, Whenever you get a chance, address changed after shifting",kyc,low,"whenever you get a chance, address changed after shifting"
MSG000114,"Dear sir, This is urgent. wrong info given by your agent Regards.",complaint,high,this is urgent. wrong info given by your agent
MSG000115,"Hi team, No hurry, but Does my co-applicant also need to complete KYC for LA016756 Thanks in advance. https://loanserve.example.com/status?id=REF",kyc,low,"no hurry, but does my co-applicant also need to complete kyc for <application_ref> thanks in advance. <url>"
MSG000116,"Dear madam, ticket SR-803020 — Requesting a prompt update. I cannot pay this month, please tell me if a moatorium is possible Kindly help.",payment_issue,medium,"ticket <ticket> — requesting a prompt update. i cannot pay this month, please tell me if a moatorium is possible kindly help."
MSG000117,"Hi team, Please treat this as urgent. money debited loan not updated Regards.",payment_issue,high,please treat this as urgent. money debited loan not updated
MSG000118,"Hello, No hurry, but visit Hyderabad branch for kyc?",kyc,low,"no hurry, but visit hyderabad branch for kyc?"
MSG000119,"Hi team, This is urgent. branch refused to help Please confirm.",complaint,high,this is urgent. branch refused to help please confirm.
MSG000120,"Hello, At your convenience, interest certificate yearly? Kindly help.",loan_query,low,"at your convenience, interest certificate yearly? kindly help."
MSG000121,"Dear madam, The emi was debited on 32/04/2026. Whenever you get a chance, Can I prepay my vehicle loan before the tenure ends Awaiting your response.
Thanks and regards,
Sneha Reddy
Account holder",loan_query,low,"the emi was debited on 32/04/2026. whenever you get a chance, can i prepay my vehicle loan before the tenure ends"
MSG000122,Please look into this soon. loan approve hone me kitna time,loan_query,medium,please look into this soon. loan approve hone me kitna time
MSG000123,"Hello, ticket CASE-908286 — Please revert within a couple of days. Is part prepayment allowed on my home loan Thanks in advance.",loan_query,medium,ticket <ticket> — please revert within a couple of days. is part prepayment allowed on my home loan
MSG000124,"Good morning, This needs to be resolved today. netbanking payment stuck Kindly help.",payment_issue,high,this needs to be resolved today. netbanking payment stuck kindly help.
MSG000125,"Hello, Please look into this soon. top up possible on my loan Thanks in advance.
Thanks and regards,
Sneha Reddy
Account holder",loan_query,medium,please look into this soon. top up possible on my loan
MSG000126,"Hi team, This needs to be resolved today. cannot pay this month Awaiting your response.",payment_issue,high,this needs to be resolved today. cannot pay this month
MSG000127,"Hi team, This is urgent. My auto debit failed and no one at the Kochi branch is helping Awaiting your response.",payment_issue,high,this is urgent. my auto debit failed and no one at the kochi branch is helping
MSG000128,"Good morning, Please revert within a couple of days. processing fee? Regards.",loan_query,medium,please revert within a couple of days. processing fee?
MSG000129,"Good morning, Extremely urgent, please act now. how to complete kyc online Kindly help.
--
Sneha Reddy
+91 8564066931",kyc,low,"extremely urgent, please act now. how to complete kyc online kindly help."
MSG000130,"Hi team, What is the processing fee on a home loan Kindly help.",loan_query,medium,what is the processing fee on a home loan kindly help.
MSG000131,"Immediate attention needed. kyc for nri account
Best regards,
Lakshmi Iyer",kyc,high,immediate attention needed. kyc for nri account
MSG000132,"Hello, Please look into this soon. Which documents do I need, my application LA982185 was rejected for papers",complaint,medium,"please look into this soon. which documents do i need, my application <application_ref> was rejected for papers"
MSG000133,"Dear madam, ticket CASE-486321 — Kindly respond at the earliest. Your representative gave me completely wrong information about my vehicle loan Please confirm.",complaint,medium,ticket <ticket> — kindly respond at the earliest. your representative gave me completely wrong information about my vehicle loan please confirm.
MSG000134,"Just checking, Please correct the spelling of my name on my loan account Regards.",kyc,medium,"just checking, please correct the spelling of my name on my loan account"
MSG000135,"Hello, ticket SR-883411 — Please revert within a couple of days. very poor service Thanks in advance.
--
Vikram Joshi
+91 7014791845",complaint,medium,ticket <ticket> — please revert within a couple of days. very poor service
MSG000136,"Dear sir, ticket SR-619388 — Whenever you get a chance, My documents for LA032944 are still not verified after 7 days Awaiting your response.

On 5 Mar 2026 at 11:04, Customer Care <care@loanserve.example> wrote:
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",kyc,low,"ticket <ticket> — whenever you get a chance, my documents for <application_ref> are still not verified after 7 days"
MSG000137,"regarding TKT-821566, Please treat this as urgent. Is my vehicle loan eligible for a moratorium and how do I apply Thanks in advance.
--
Priya Sharma
+91 7816388421",loan_query,high,"regarding <ticket>, please treat this as urgent. is my vehicle loan eligible for a moratorium and how do i apply"
MSG000138,"Dear sir, At your convenience, settle the loan early
Best regards,
Ravi Kumar",payment_issue,low,"at your convenience, settle the loan early"
MSG000139,"Whenever you get a chance, Update my mobile number, I am not receiving payment reminders Kindly help.",payment_issue,low,"whenever you get a chance, update my mobile number, i am not receiving payment reminders kindly help."
MSG000140,"Hi team, Please look into this soon. I have complained about LA946998 repeatedly and nothing changes Please advise. 🙏",complaint,medium,please look into this soon. i have complained about <application_ref> repeatedly and nothing changes please advise. 🙏
MSG000141,"Dear madam, I uploaded the document on 22-3-2025. ticket CASE-363952 — Still waiting 11 days for someone to verify my documents for LA015581 Regards.
--
Ravi Kumar
Sent from my iPhone

-----Original Message-----
From: LoanServe Support
Subject: Re: your query
> We have received your documents and they are under verification.
> No action is needed from your side at this stage.",kyc,medium,i uploaded the document on 22-3-2025. ticket <ticket> — still waiting 11 days for someone to verify my documents for <application_ref>
MSG000142,"Dear sir, Kindly respond at the earliest. How do I register a new mobile number against LA968440 Kindly help.
Sent from my Android device",kyc,medium,kindly respond at the earliest. how do i register a new mobile number against <application_ref> kindly help.
MSG000143,"Hello, At your convenience, sanction letter timeline Regards.
--
Imran Qureshi
+91 8328230965",loan_query,low,"at your convenience, sanction letter timeline"
MSG000144,"Dear madam, I uploaded the document on 24-11-2025. ticket REF#685726 — Why should I pay Rs 784,000 penalty when the delay was from your KYC team Thanks in advance.",payment_issue,high,"i uploaded the document on 24-11-2025. ticket <ticket> — why should i pay rs 784,000 penalty when the delay was from your kyc team"
MSG000145,"Hi team, auto debit not happening Please advise.",payment_issue,high,auto debit not happening please advise.
MSG000146,"Hi team, Please revert within a couple of days. I have been charged a late payment penalty of Rs 28,000 unfairly Awaiting your response.",payment_issue,medium,"please revert within a couple of days. i have been charged a late payment penalty of rs 28,000 unfairly"
MSG000147,"Dear madam, Requesting a prompt update. pathetic support
--
Priya Sharma
+91 9268371658",complaint,medium,requesting a prompt update. pathetic support
MSG000148,"regarding CASE-663999, Just checking, penalty charged unfairly Thanks in advance.

On 13 Jan 2026 at 11:04, Customer Care <care@loanserve.example> wrote:
> We have received your documents and they are under verification.
> No action is needed from your side at this stage.",payment_issue,low,"regarding <ticket>, just checking, penalty charged unfairly"
MSG000149,"Dear madam, Please revert within a couple of days. My documents for LA941328 are still not verified after 42 days Please confirm.
--
Sneha Reddy
+91 7057108140",complaint,medium,please revert within a couple of days. my documents for <application_ref> are still not verified after 42 days please confirm.
MSG000150,"regarding CASE-513312, Whenever you get a chance, I want to update my PAN details on my loan account https://loanserve.example.com/status?id=REF",kyc,low,"regarding <ticket>, whenever you get a chance, i want to update my pan details on my loan account <url>"
MSG000151,"Good morning, Just checking, emi calculator link Kindly help.
--
Sneha Reddy
+91 9173861877",loan_query,low,"just checking, emi calculator link kindly help."
MSG000152,"Dear sir, ticket REF#528600 — This needs to be resolved today. very unhappy with home loan process Awaiting your response.",complaint,high,ticket <ticket> — this needs to be resolved today. very unhappy with home loan process
MSG000153,"This is urgent. emi deducted before due date

On 16 Apr 2026, LoanServe Support <support@loanserve.example> wrote:
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",payment_issue,high,this is urgent. emi deducted before due date
MSG000154,"Hi team, Whenever you get a chance, any hidden charges Please confirm.",loan_query,low,"whenever you get a chance, any hidden charges please confirm."
MSG000155,"Hi team, Please treat this as urgent. Which documents do I need, my application LA994439 was rejected for papers Regards.
Best regards,
Priya Sharma",complaint,high,"please treat this as urgent. which documents do i need, my application <application_ref> was rejected for papers"
