thread_id,application_reference,turn,sender,category,message_text
THR000009,LA027637,6,agent,kyc,"Hello, You will get an sms as soon as the kyc is marked complete. The kyc status also shows on your personal loan application page. Thanks and regards.
Thanks and regards,
Anita Desai
LoanServe Support"
THR000010,LA010113,1,customer,payment_issue,"Hello, I want to change my emi date to the 5th of the month. My salary is credited late and the present emi date does not suit me.
Sent from my iPhone"
THR000010,LA010113,2,agent,payment_issue,"Hello, The emi date can be moved to the 5th from the next cycle. A fresh mandate is needed for the changed emi date. Thanks and regards."
THR000010,LA010113,3,customer,payment_issue,My reference is LA010113. Please go ahead with the change. Is there any charge for changing the emi date? Awaiting your response.
THR000010,LA010113,4,agent,payment_issue,A charge of Rs 590 applies for changing the emi date. The new emi date takes effect from the next cycle. Thanks and regards.
THR000010,LA010113,5,customer,payment_issue,The charge is acceptable to me. When will the new emi date show in my account? www.loanserve.example.in/upload
THR000010,LA010113,6,agent,payment_issue,"The new emi date will show in your account once the fresh mandate is active. Your emi amount does not change. Thank you.
Thanks and regards,
Deepa Pillai
LoanServe Support"
THR000011,LA026839,1,customer,loan_query,Dear Sir I have been offered a lower rate by another bank. What is the process to transfer my gold loan to that bank?
THR000011,LA026839,2,agent,loan_query,"Dear madam, This is regarding application LA026839. For a balance transfer of your gold loan we issue a foreclosure letter. The other bank pays the outstanding on your gold loan against that letter. Regards.
Best regards,
Vikram Rao
Customer Service"
THR000011,LA026839,3,customer,loan_query,"Dear sir, My reference is LA026839. REF536145 - How long does the foreclosure letter take? Is there a charge for the balance transfer? Awaitng your response."
THR000011,LA026839,4,agent,loan_query,This is regarding application LA026839. The foreclosure letter is issued within five working days. There is no charge on a floating rate gold loan for a balance transfer.
THR000012,LA003203,1,customer,complaint,"Hi REF488926 - The branch told me one interest rate on my personal loan and the sanction letter shows a different rate. I was given wrong information at the branch. Thanks.
--
Priya Sharma
Customer"
THR000012,LA003203,2,agent,complaint,"Hello, We are sorry about the wrong information on your personal loan rate. The rate in the sanction letter is the rate that applies to your personal loan. Thanks and regards."
THR000012,LA003203,3,customer,complaint,"Then why was a lower rate quoted to me at the branch? I took the personal loan only because of the rate I was quoted. Thanks in advance.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000012,LA003203,4,agent,complaint,"This is regarding application LA003203. The rate quoted to you was the card rate before your profile was scored. Your personal loan rate has been sent for review by the credit team. Thank you.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000013,LA007564,1,customer,kyc,"Dear madam, CASE515573 - My home loan application is on hold. The address proof I uploaded was rejected. Can you tell me why the address proof was rejected?
--
Meera Nair
Customer"
THR000013,LA007564,2,agent,kyc,SR323221 - The address proof was rejected because only one page of the document was uploaded. Please upload a fresh copy of the address proof from your registered login.
THR000013,LA007564,3,customer,kyc,"Respected sir, My reference is LA007564. REF958753 - I have uploaded the address proof again today. How many days does address proof verification take? Regards.
Sent from my iPhone"
THR000013,LA007564,4,agent,kyc,"Hello, Your address proof is now under verification. A fresh address proof is normally verified within seven working days. Thank you."
THR000013,LA007564,5,customer,kyc,"Hi team, CASE436655 - Will my home loan sanction be delayed because the address proof was rejected once?"
THR000013,LA007564,6,agent,kyc,"Hello, The home loan sanction will move ahead as soon as the address proof is verified. No further delay is expected on your home loan application. Thank you."
THR000014,LA017730,1,customer,payment_issue,My emi for february has bounced. There was enough balance in my bank account on the emi date.
THR000014,LA017730,2,agent,payment_issue,"The emi bounced because the mandate on your bank account has expired. A fresh mandate has to be registered before the next emi is presented. www.loanserve.example.in/upload
Best regards,
Kavita Joshi
Customer Service"
THR000014,LA017730,3,customer,payment_issue,"Respected sir, How do I register a fresh mandate for the emi? Will a bounce charge be applied on this emi?"
THR000014,LA017730,4,agent,payment_issue,"Dear sir, A fresh mandate can be registered from your login under the emi section. The bounce charge of Rs 250 has been waived on this emi. Thanks and regards.
Thanks and regards,
Arjun Menon
LoanServe Support"
THR000014,LA017730,5,customer,payment_issue,"My reference is LA017730. TKT300035 - I have registered the fresh mandate today. Will the february emi be presented once more?
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000014,LA017730,6,agent,payment_issue,"Dear sir, TKT634505 - The february emi will be presented again once the fresh mandate is active. No further action is needed from your side on the emi. Regards."
THR000015,LA024194,1,customer,loan_query,"Hello, My reference is LA024194. I have been offered a lower rate by another bank. What is the process to transfer my home loan to that bank?
Best regards,
Deepa Pillai"
THR000015,LA024194,2,agent,loan_query,"Dear sir, For a balance transfer of your home loan we issue a foreclosure letter. The other bank pays the outstanding on your home loan against that letter. Thank you.
Thanks and regards,
Anita Desai
LoanServe Support"
THR000015,LA024194,3,customer,loan_query,"Dear sir, My reference is LA024194. CASE204015 - How long does the foreclosure letter take? Is there a charge for the balance transfer?"
THR000015,LA024194,4,agent,loan_query,CASE467519 - The foreclosure letter is issued within two working days. There is no charge on a floating rate home loan for a balance transfer. Regards.
THR000015,LA024194,5,customer,loan_query,"SR994444 - Please issue the foreclosure letter for my home loan. Where will the letter be sent? Regards.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000015,LA024194,6,agent,loan_query,"Hello, This is regarding application LA024194. The foreclosure letter will be sent to your registered email. A copy of the letter can also be collected from the branch. Thanks and regards."
THR000016,LA025099,1,customer,complaint,"Hi team, SR589799 - The branch told me one interest rate on my personal loan and the sanction letter shows a different rate. I was given wrong information at the branch.
Sent from my iPhone"
THR000016,LA025099,2,agent,complaint,"Dear customer, REF326052 - We are sorry about the wrong information on your personal loan rate. The rate in the sanction letter is the rate that applies to your personal loan. www.loanserve.example.in/upload Regards."
THR000016,LA025099,3,customer,complaint,"Then why was a lower rate quoted to me at the branch? I took the personal loan only because of the rate I was quoted. Regards.
Best regards,
Kavita Joshi"
THR000016,LA025099,4,agent,complaint,"Dear sir, TKT711763 - The rate quoted to you was the card rate before your profile was scored. Your personal loan rate has been sent for review by the credit team. Regards.
Best regards,
Priya Sharma
Customer Service"
THR000016,LA025099,5,customer,complaint,"My reference is LA025099. Please tell me the outcome of that review in writing. I do not want another verbal answer on my personal loan. Regards.
Best regards,
Rahul Verma"
THR000016,LA025099,6,agent,complaint,"Dear madam, This is regarding application LA025099. The outcome of the review will be sent to your registered email. Nothing on your personal loan will be communicated only by phone.
Thanks and regards,
Deepa Pillai
LoanServe Support"
THR000017,LA003688,1,customer,kyc,SR397911 - I was asked for a income proof for my gold loan but I have already submitted it once. Why is the same income proof being asked for again?
THR000017,LA003688,2,agent,kyc,"Dear sir, The income proof you submitted earlier was against your older application. A income proof has to be submitted again for this gold loan. Thanks and regards."
THR000017,LA003688,3,customer,kyc,"TKT814588 - That is not convenient but I will send the income proof again. Can I bring the income proof to the branch instead of uploading it?
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more.
Thanks and regards,
Suresh Iyer"
THR000017,LA003688,4,agent,kyc,"Dear sir, Yes, the income proof can be submitted at any branch. The branch will scan the income proof and attach it to your gold loan application. Thanks and regards.
Best regards,
Priya Sharma
Customer Service"
THR000018,LA017623,1,customer,payment_issue,"Dear sir, My emi for january has bounced. There was enough balance in my bank account on the emi date. Thanks in advance."
THR000018,LA017623,2,agent,payment_issue,"Dear madam, CASE409873 - The emi bounced because the mandate on your bank account has expired. A fresh mandate has to be registered before the next emi is presented. Regards."
THR000018,LA017623,3,customer,payment_issue,"Hi team, My reference is LA017623. SR585049 - How do I register a fresh mandate for the emi? Will a bounce charge be applied on this emi? https://loanserve.example.in/status Thank you."
THR000018,LA017623,4,agent,payment_issue,"Dear customer, A fresh mandate can be registered from your login under the emi section. The bounce charge of Rs 250 has been waived on this emi. Regards.
Best regards,
Rohit Kulkarni
Customer Service"
THR000018,LA017623,5,customer,payment_issue,"I have registered the fresh mandate today. Will the january emi be presented once more?
Sent from my iPhone"
THR000018,LA017623,6,agent,payment_issue,The january emi will be presented again once the fresh mandate is active. No further action is needed from your side on the emi. Thanks and regards.
THR000019,LA019337,1,customer,loan_query,Hi Is my personal loan eligible for a moratorium? My income has stopped for a few months and I cannot pay the emi.
THR000019,LA019337,2,agent,loan_query,"Dear customer, A moratorium on your personal loan is considered case by case. Interest keeps adding during the moratorium, so the tenure on your personal loan goes up. https://loanserve.example.in/help/kyc Regards."
THR000019,LA019337,3,customer,loan_query,I understand that the tenure will go up. What do I have to submit to apply for the moratorium?
THR000019,LA019337,4,agent,loan_query,"Dear customer, This is regarding application LA019337. Please submit a written request along with proof of the income loss. The moratorium on your personal loan is decided within five working days. Regards."
THR000020,LA017962,1,customer,complaint,"Dear sir, REF254135 - I have written about my gold loan three times and nobody has replied. This is the fourth time I am writing about the same issue."
THR000020,LA017962,2,agent,complaint,"Hello, We are sorry that your earlier mails on the gold loan went unanswered. Your issue has been escalated to the service manager."
THR000020,LA017962,3,customer,complaint,Escalation is fine but I still have no answer on my gold loan. When will somebody actually reply with an answer? Regards.
THR000020,LA017962,4,agent,complaint,"This is regarding application LA017962. The service manager will call you on your registered number within seven working days. The answer on your gold loan will be given on that call. https://loanserve.example.in/help/kyc Thank you.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more.
Best regards,
Suresh Iyer
Customer Service"
THR000020,LA017962,5,customer,complaint,Hi My reference is LA017962. I received the call and the issue on my gold loan is clear now. Please close this complaint.
THR000020,LA017962,6,agent,complaint,This is regarding application LA017962. Thank you for confirming that the gold loan issue is clear. This complaint is being closed as resolved.
THR000021,LA020721,1,customer,kyc,"Hi team, My reference is LA020721. My gold loan application is on hold. The address proof I uploaded was rejected. Can you tell me why the address proof was rejected? Thank you."
THR000021,LA020721,2,agent,kyc,The address proof was rejected because only one page of the document was uploaded. Please upload a fresh copy of the address proof from your registered login. Thank you.
THR000021,LA020721,3,customer,kyc,My reference is LA020721. I have uploaded the address proof again today. How many days does address proof verification take?
THR000021,LA020721,4,agent,kyc,"Dear customer, Your address proof is now under verification. A fresh address proof is normally verified within two working days. Thanks and regards."
THR000022,LA006722,1,customer,payment_issue,Hi My reference is LA006722. TKT909134 - I want to change my emi date to the 15th of the month. My salary is credited late and the present emi date does not suit me. Awaiting your response.
THR000022,LA006722,2,agent,payment_issue,"Hello, The emi date can be moved to the 15th from the next cycle. A fresh mandate is needed for the changed emi date. Thank you."
THR000022,LA006722,3,customer,payment_issue,"SR362666 - Please go ahead with the change. Is there any charge for changing the emi date? Awaiting your response.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000022,LA006722,4,agent,payment_issue,This is regarding application LA006722. A charge of Rs 1180 applies for changing the emi date. The new emi date takes effect from the next cycle. Thanks and regards.
THR000022,LA006722,5,customer,payment_issue,"Good morning, The charge is acceptable to me. When will the new emi date show in my account? Thanks in advance.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000022,LA006722,6,agent,payment_issue,"Dear madam, The new emi date will show in your account once the fresh mandate is active. Your emi amount does not change. Thank you."
THR000023,LA021248,1,customer,loan_query,Hi Is my home loan eligible for a moratorium? My income has stopped for a few months and I cannot pay the emi.
THR000023,LA021248,2,agent,loan_query,"A moratorium on your home loan is considered case by case. Interest keeps adding during the moratorium, so the tenure on your home loan goes up. https://loanserve.example.in/help/kyc Thanks and regards."
THR000023,LA021248,3,customer,loan_query,"Dear madam, My reference is LA021248. CASE294437 - I understand that the tenure will go up. What do I have to submit to apply for the moratorium?
Sent from my iPhone"
THR000023,LA021248,4,agent,loan_query,Please submit a written request along with proof of the income loss. The moratorium on your home loan is decided within two working days. Thank you.
THR000024,LA032640,1,customer,complaint,The branch told me one interest rate on my home loan and the sanction letter shows a different rate. I was given wrong information at the branch.
THR000024,LA032640,2,agent,complaint,"Hello, We are sorry about the wrong information on your home loan rate. The rate in the sanction letter is the rate that applies to your home loan. Thank you."
THR000024,LA032640,3,customer,complaint,"Hi team, My reference is LA032640. REF460294 - Then why was a lower rate quoted to me at the branch? I took the home loan only because of the rate I was quoted."
THR000024,LA032640,4,agent,complaint,"The rate quoted to you was the card rate before your profile was scored. Your home loan rate has been sent for review by the credit team. Thanks and regards.
Thanks and regards,
Arjun Menon
LoanServe Support"
THR000024,LA032640,5,customer,complaint,My reference is LA032640. Please tell me the outcome of that review in writing. I do not want another verbal answer on my home loan. Awaiting your response.
THR000024,LA032640,6,agent,complaint,"This is regarding application LA032640. The outcome of the review will be sent to your registered email. Nothing on your home loan will be communicated only by phone. Thank you.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000025,LA000286,1,customer,kyc,My home loan application is on hold. The pan card I uploaded was rejected. Can you tell me why the pan card was rejected?
THR000025,LA000286,2,agent,kyc,"Dear madam, This is regarding application LA000286. The pan card was rejected because the document had already expired. Please upload a fresh copy of the pan card from your registered login. https://loanserve.example.in/status
Best regards,
Suresh Iyer
Customer Service"
THR000025,LA000286,3,customer,kyc,"Hello, My reference is LA000286. I have uploaded the pan card again today. How many days does pan card verification take? Thank you.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000025,LA000286,4,agent,kyc,This is regarding application LA000286. Your pan card is now under verification. A fresh pan card is normally verified within three working days. https://loanserve.example.in/help/kyc
THR000026,LA008696,1,customer,payment_issue,"Hi team, My reference is LA008696. I want to prepay Rs 300,000 on my home loan. Does a part prepayment reduce the emi or the tenure?"
THR000026,LA008696,2,agent,payment_issue,"Dear madam, TKT434629 - A part prepayment of Rs 300,000 can reduce either the emi or the tenure on your home loan. You have to tell us which of the two you want. Thank you."
THR000026,LA008696,3,customer,payment_issue,Please reduce the tenure and keep the emi as it is. Is there a prepayment charge on my home loan?
THR000026,LA008696,4,agent,payment_issue,"This is regarding application LA008696. TKT975972 - There is no prepayment charge on a floating rate home loan. The tenure will reduce once the prepayment of Rs 300,000 is received.
Thanks and regards,
Rahul Verma
LoanServe Support"
THR000027,LA032276,1,customer,loan_query,Hi My reference is LA032276. CASE706723 - Is my vehicle loan eligible for a moratorium? My income has stopped for a few months and I cannot pay the emi.
THR000027,LA032276,2,agent,loan_query,"Dear madam, This is regarding application LA032276. A moratorium on your vehicle loan is considered case by case. Interest keeps adding during the moratorium, so the tenure on your vehicle loan goes up. Regards."
THR000027,LA032276,3,customer,loan_query,My reference is LA032276. TKT269235 - I understand that the tenure will go up. What do I have to submit to apply for the moratorium? Regards.
THR000027,LA032276,4,agent,loan_query,"Dear sir, This is regarding application LA032276. Please submit a written request along with proof of the income loss. The moratorium on your vehicle loan is decided within three working days.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more.
Thanks and regards,
Rahul Verma
LoanServe Support"
THR000028,LA019470,1,customer,complaint,"Good morning, My reference is LA019470. The branch told me one interest rate on my home loan and the sanction letter shows a different rate. I was given wrong information at the branch. Thanks in advance."
THR000028,LA019470,2,agent,complaint,"This is regarding application LA019470. We are sorry about the wrong information on your home loan rate. The rate in the sanction letter is the rate that applies to your home loan. Regards.
Thanks and regards,
Suresh Iyer
LoanServe Support"
THR000028,LA019470,3,customer,complaint,"Then why was a lower rate quoted to me at the branch? I took the home loan only because of the rate I was quoted.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000028,LA019470,4,agent,complaint,"Dear sir, CASE207560 - The rate quoted to you was the card rate before your profile was scored. Your home loan rate has been sent for review by the credit team. Thanks and regards."
THR000028,LA019470,5,customer,complaint,Please tell me the outcome of that review in writing. I do not want another verbal answer on my home loan. Thanks in advance.
THR000028,LA019470,6,agent,complaint,"Dear madam, This is regarding application LA019470. The outcome of the review will be sent to your registered email. Nothing on your home loan will be communicated only by phone. Thank you."
THR000029,LA032181,1,customer,kyc,"Dear Sir TKT603677 - My kyc is showing as incomplete on my personal loan. The name printed on my income proof does not match the name in your records. Regards.
Best regards,
Priya Sharma"
THR000029,LA032181,2,agent,kyc,"Dear sir, This is regarding application LA032181. The name mismatch on your income proof is the reason the kyc is incomplete. Please share a income proof that carries the corrected name. Thank you.
Best regards,
Vikram Rao
Customer Service"
THR000029,LA032181,3,customer,kyc,"REF593840 - I have attached the corrected income proof with the right name. Does anything else have to change for the kyc? Thank you.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000029,LA032181,4,agent,kyc,CASE437027 - The corrected income proof has been received and sent for checking. Nothing else is pending on your kyc right now. Regards.
THR000029,LA032181,5,customer,kyc,"Dear sir, SR980587 - How will I know when the kyc is marked complete?"
THR000029,LA032181,6,agent,kyc,"Hello, This is regarding application LA032181. You will get an sms as soon as the kyc is marked complete. The kyc status also shows on your personal loan application page. https://loanserve.example.in/status
Thanks and regards,
Anita Desai
LoanServe Support"
THR000030,LA009863,1,customer,payment_issue,"Good morning, REF971395 - I want to prepay Rs 150,000 on my home loan. Does a part prepayment reduce the emi or the tenure?"
THR000030,LA009863,2,agent,payment_issue,"Hello, TKT349834 - A part prepayment of Rs 150,000 can reduce either the emi or the tenure on your home loan. You have to tell us which of the two you want. Thanks and regards."
THR000030,LA009863,3,customer,payment_issue,"Dear sir, Please reduce the tenure and keep the emi as it is. Is there a prepayment charge on my home loan?"
THR000030,LA009863,4,agent,payment_issue,"Dear madam, This is regarding application LA009863. SR295961 - There is no prepayment charge on a floating rate home loan. The tenure will reduce once the prepayment of Rs 150,000 is received. Regards.
Best regards,
Vikram Rao
Customer Service"
THR000031,LA005211,1,customer,loan_query,"Hi team, TKT570336 - I have been offered a lower rate by another bank. What is the process to transfer my gold loan to that bank?"
THR000031,LA005211,2,agent,loan_query,"Dear madam, For a balance transfer of your gold loan we issue a foreclosure letter. The other bank pays the outstanding on your gold loan against that letter. Regards."
THR000031,LA005211,3,customer,loan_query,"Hello, My reference is LA005211. REF854457 - How long does the foreclosure letter take? Is there a charge for the balance transfer? Regards.
Thanks and regards,
Priya Sharma"
THR000031,LA005211,4,agent,loan_query,"Dear customer, The foreclosure letter is issued within two working days. There is no charge on a floating rate gold loan for a balance transfer. Thanks and regards.
Thanks and regards,
Rohit Kulkarni
LoanServe Support"
THR000031,LA005211,5,customer,loan_query,"My reference is LA005211. TKT854953 - Please issue the foreclosure letter for my gold loan. Where will the letter be sent?
Sent from my iPhone"
THR000031,LA005211,6,agent,loan_query,"Dear sir, This is regarding application LA005211. The foreclosure letter will be sent to your registered email. A copy of the letter can also be collected from the branch. https://loanserve.example.in/status Regards."
THR000032,LA026602,1,customer,complaint,Hi A charge of Rs 590 has been debited on my gold loan and I was never told about this charge. Please explain why this charge was taken. Thanks.
THR000032,LA026602,2,agent,complaint,"Dear sir, CASE207809 - The charge of Rs 590 on your gold loan is a late payment charge. It was applied because the january emi was paid after the due date. https://loanserve.example.in/help/kyc Thanks and regards."
THR000032,LA026602,3,customer,complaint,"Dear sir, My reference is LA026602. The emi was late because your own mandate failed. Why should a charge be taken from me for a failure at your end? Thanks.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000032,LA026602,4,agent,complaint,"Dear madam, This is regarding application LA026602. You are right that the mandate failure was at our end. The charge of Rs 590 is being reversed on your gold loan. Regards.
Thanks and regards,
Priya Sharma
LoanServe Support"
THR000033,LA020280,1,customer,kyc,Hi My kyc is showing as incomplete on my gold loan. The name printed on my bank statement does not match the name in your records. Awaiting your response.
THR000033,LA020280,2,agent,kyc,"The name mismatch on your bank statement is the reason the kyc is incomplete. Please share a bank statement that carries the corrected name. Thank you.
Best regards,
Meera Nair
Customer Service"
THR000033,LA020280,3,customer,kyc,"Hello, I have attached the corrected bank statement with the right name. Does anything else have to change for the kyc? https://loanserve.example.in/status
--
Deepa Pillai
Customer"
THR000033,LA020280,4,agent,kyc,"Hello, This is regarding application LA020280. The corrected bank statement has been received and sent for checking. Nothing else is pending on your kyc right now. Thank you."
THR000034,LA005092,1,customer,payment_issue,My emi for may has bounced. There was enough balance in my bank account on the emi date. Thanks.
THR000034,LA005092,2,agent,payment_issue,This is regarding application LA005092. SR807549 - The emi bounced because the mandate on your bank account has expired. A fresh mandate has to be registered before the next emi is presented. Thanks and regards.
THR000034,LA005092,3,customer,payment_issue,How do I register a fresh mandate for the emi? Will a bounce charge be applied on this emi?
THR000034,LA005092,4,agent,payment_issue,"Dear sir, This is regarding application LA005092. A fresh mandate can be registered from your login under the emi section. The bounce charge of Rs 1180 has been waived on this emi. Regards.
Thanks and regards,
Priya Sharma
LoanServe Support"
THR000034,LA005092,5,customer,payment_issue,"My reference is LA005092. CASE222557 - I have registered the fresh mandate today. Will the may emi be presented once more? Thanks in advance.
Best regards,
Priya Sharma"
THR000034,LA005092,6,agent,payment_issue,"Dear sir, The may emi will be presented again once the fresh mandate is active. No further action is needed from your side on the emi. Regards."
THR000035,LA027359,1,customer,loan_query,"Respected sir, I have been offered a lower rate by another bank. What is the process to transfer my gold loan to that bank? Regards."
